Puntaje,Tiempo
0,13:52:54
0,13:53:47
200,13:53:47
200,13:53:47
200,13:53:47
200,13:53:47
200,13:53:47
200,13:53:47
200,13:53:47
200,13:53:47
200,13:53:47
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:48
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:49
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:50
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:51
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:52
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:53
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:54
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:55
200,13:53:56
200,13:53:56
200,13:53:56
200,13:53:56
200,13:53:56
200,13:53:56
200,13:53:56
200,13:53:56
200,13:53:56
200,13:53:56
200,13:53:56
200,13:53:56
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:57
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:58
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:53:59
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:0
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:1
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:2
200,13:54:3
